dyError;dthetaError;dkappaError;vrotError;vRotKappaError;vRotPosFilteredError;vRotPosUnfilteredError;vRotPosError;timeError
-0.00184172206645;-0.0213199613717;0.0;-0.00704824073641;0.0;-0.0107822760662;-0.0135035836321;-0.00704824073641;1490978239.07
-0.00184172206645;-0.0213199613717;0.0;-0.00728581567518;0.0;-0.0112545884748;-0.0135035836321;-0.00728581567518;1490978239.09
-0.00184172206645;-0.0213199613717;0.0;-0.00749464895267;0.0;-0.0116930249211;-0.0135035836321;-0.00749464895267;1490978239.11
-0.00184172206645;-0.0213199613717;0.0;-0.00761061717344;0.0;-0.012014586963;-0.0135035836321;-0.00761061717344;1490978239.13
-0.00183045711145;-0.0208373022589;0.0;-0.00770696123406;0.0;-0.0123118047655;-0.0129366509239;-0.00770696123406;1490978239.15
-0.00183045711145;-0.0208373022589;0.0;-0.00778172677862;0.0;-0.0125835596078;-0.0129366509239;-0.00778172677862;1490978239.17
-0.00183045711145;-0.0208373022589;0.0;-0.00783628170777;0.0;-0.0128288192596;-0.0129366509239;-0.00783628170777;1490978239.19
-0.00183045711145;-0.0208373022589;0.0;-0.00786902178759;0.0;-0.0130469422191;-0.0129366509239;-0.00786902178759;1490978239.21
-0.00183045711145;-0.0208373022589;0.0;-0.00788165392715;0.0;-0.0132377803568;-0.0129366509239;-0.00788165392715;1490978239.23
-0.00183045711145;-0.0208373022589;0.0;-0.00771325725712;0.0;-0.0131903083739;-0.0129366509239;-0.00771325725712;1490978239.25
-0.00359899409194;-0.0199933608882;0.0;-0.00755150558966;0.0;-0.0131464365748;-0.0144128271603;-0.00755150558966;1490978239.27
-0.00359899409194;-0.0199933608882;0.0;-0.0073964537058;0.0;-0.0131071825593;-0.0144128271603;-0.0073964537058;1490978239.29
-0.00359899409194;-0.0199933608882;0.0;-0.00724944918723;0.0;-0.0130742542562;-0.0144128271603;-0.00724944918723;1490978239.31
-0.00359899409194;-0.0199933608882;0.0;-0.00711164826704;0.0;-0.0130491907594;-0.0144128271603;-0.00711164826704;1490978239.33
-0.00359899409194;-0.0199933608882;0.0;-0.00698301877382;0.0;-0.0130330202499;-0.0144128271603;-0.00698301877382;1490978239.35
-0.00359899409194;-0.0199933608882;0.0;-0.00689728667688;0.0;-0.0130696407345;-0.0144128271603;-0.00689728667688;1490978239.37
-0.00351713002815;-0.0189492162578;0.0;-0.00681985998703;0.0;-0.0131106464976;-0.0178781923462;-0.00681985998703;1490978239.39
