xVelocityPos;yVelocityPos;thetaVelocityPos;timeVelocityPos
0.0;0.0;0.0;1490978237.13
0.0;0.0;9.27970522913e-06;1490978237.13
0.0;0.0;9.27970522913e-06;1490978237.13
0.0;0.0;9.27970522913e-06;1490978237.13
0.0;0.0;9.27970522913e-06;1490978237.13
0.0;0.0;9.27970522913e-06;1490978237.13
0.0;0.0;9.27970522913e-06;1490978237.13
11.8035230637;7.89550876617;0.0211744810501;1490978237.26
11.8035230637;7.89550876617;0.0211744810501;1490978237.26
11.8035230637;7.89550876617;0.0211744810501;1490978237.26
11.8035230637;7.89550876617;0.0211744810501;1490978237.26
11.8035230637;7.89550876617;0.0211744810501;1490978237.26
11.8035230637;7.89550876617;0.0211744810501;1490978237.26
11.8035230637;7.89550876617;0.0211744810501;1490978237.38
11.8035230637;7.89550876617;0.0211744810501;1490978237.38
11.8035230637;7.89550876617;0.0211744810501;1490978237.38
11.8035230637;7.89550876617;0.0211744810501;1490978237.38
11.8035230637;7.89550876617;0.0211744810501;1490978237.38
11.8035230637;7.89550876617;0.0211744810501;1490978237.38
11.8034715652;7.89550876617;0.0222775403428;1490978237.5
11.8034715652;7.89550876617;0.0222775403428;1490978237.5
11.8034715652;7.89550876617;0.0222775403428;1490978237.5
11.8034715652;7.89550876617;0.0222775403428;1490978237.5
11.8034715652;7.89550876617;0.0222775403428;1490978237.5
11.8034715652;7.89550876617;0.0222775403428;1490978237.5
11.8034715652;7.89550876617;0.0222775403428;1490978237.63
11.8034715652;7.89550876617;0.0222775403428;1490978237.63
11.8034715652;7.89550876617;0.0222775403428;1490978237.63
11.8034715652;7.89550876617;0.0222775403428;1490978237.63
11.8034715652;7.89550876617;0.0222775403428;1490978237.63
11.8034715652;7.89550876617;0.0222775403428;1490978237.63
11.8034715652;7.89550876617;0.0222775403428;1490978237.76
11.8034715652;7.89550876617;0.0222775403428;1490978237.76
11.8034715652;7.89550876617;0.0222775403428;1490978237.76
11.8034715652;7.89550876617;0.0222775403428;1490978237.76
11.8034715652;7.89550876617;0.0222775403428;1490978237.76
11.8034715652;7.89550876617;0.0222775403428;1490978237.76
11.8034715652;7.89550876617;0.0222775403428;1490978237.76
11.8034715652;7.89550876617;0.0222775403428;1490978237.88
11.8034715652;7.89550876617;0.0222775403428;1490978237.88
11.8034715652;7.89550876617;0.0222775403428;1490978237.88
11.8034715652;7.89550876617;0.0222775403428;1490978237.88
11.8034715652;7.89550876617;0.0222775403428;1490978237.88
11.8034715652;7.89550876617;0.0222775403428;1490978237.88
11.8034715652;7.89550876617;0.0222775403428;1490978238.01
11.8034715652;7.89550876617;0.0222775403428;1490978238.01
11.8034715652;7.89550876617;0.0222775403428;1490978238.01
11.8034715652;7.89550876617;0.0222775403428;1490978238.01
11.8034715652;7.89550876617;0.0222775403428;1490978238.01
11.8034715652;7.89550876617;0.0222775403428;1490978238.01
11.8034715652;7.89550876617;0.0222775403428;1490978238.13
11.8034715652;7.89550876617;0.0222775403428;1490978238.13
11.8034715652;7.89550876617;0.0222775403428;1490978238.13
11.8034715652;7.89550876617;0.0222775403428;1490978238.13
11.8034715652;7.89550876617;0.0222775403428;1490978238.13
11.8034715652;7.89550876617;0.0222775403428;1490978238.13
11.8034715652;7.89550876617;0.0222775403428;1490978238.25
11.8034715652;7.89550876617;0.0222775403428;1490978238.25
11.8034715652;7.89550876617;0.0222775403428;1490978238.25
11.8034715652;7.89550876617;0.0222775403428;1490978238.25
11.8034715652;7.89550876617;0.0222775403428;1490978238.25
11.8034715652;7.89550876617;0.0222775403428;1490978238.25
11.8034715652;7.89550876617;0.0222775403428;1490978238.25
11.8037590559;7.89551513681;0.0221558213004;1490978238.38
11.8037590559;7.89551513681;0.0221558213004;1490978238.38
11.8037590559;7.89551513681;0.0221558213004;1490978238.38
11.8037590559;7.89551513681;0.0221558213004;1490978238.38
11.8037590559;7.89551513681;0.0221558213004;1490978238.38
11.8037590559;7.89551513681;0.0221558213004;1490978238.38
11.8068913283;7.89558492405;0.0222763811744;1490978238.51
11.8068913283;7.89558492405;0.0222763811744;1490978238.51
11.8068913283;7.89558492405;0.0222763811744;1490978238.51
11.8068913283;7.89558492405;0.0222763811744;1490978238.51
11.8068913283;7.89558492405;0.0222763811744;1490978238.51
11.8068913283;7.89558492405;0.0222763811744;1490978238.51
11.8186473592;7.8958495792;0.0225084859754;1490978238.63
11.8186473592;7.8958495792;0.0225084859754;1490978238.63
11.8186473592;7.8958495792;0.0225084859754;1490978238.63
11.8186473592;7.8958495792;0.0225084859754;1490978238.63
11.8186473592;7.8958495792;0.0225084859754;1490978238.63
11.8186473592;7.8958495792;0.0225084859754;1490978238.63
11.8361683648;7.89624189307;0.0223873182475;1490978238.76
11.8361683648;7.89624189307;0.0223873182475;1490978238.76
11.8361683648;7.89624189307;0.0223873182475;1490978238.76
11.8361683648;7.89624189307;0.0223873182475;1490978238.76
11.8361683648;7.89624189307;0.0223873182475;1490978238.76
11.8361683648;7.89624189307;0.0223873182475;1490978238.76
11.8361683648;7.89624189307;0.0223873182475;1490978238.76
11.8518685972;7.89655601634;0.0229087917028;1490978238.88
11.8518685972;7.89655601634;0.0229087917028;1490978238.88
11.8518685972;7.89655601634;0.0229087917028;1490978238.88
11.8518685972;7.89655601634;0.0229087917028;1490978238.88
11.8518685972;7.89655601634;0.0229087917028;1490978238.88
11.8518685972;7.89655601634;0.0229087917028;1490978238.88
11.8688302099;7.89694054638;0.0226667232758;1490978239.01
11.8688302099;7.89694054638;0.0226667232758;1490978239.01
