vlReal;vrReal;vlDes;vrDes;vlDesLim;vrDesLim;vRotDes;vTransDes;timeVelocity
0.0;0.0;0.0;0.0;0.01;0.01;0.0;0.0;1490978238.26
0.0;0.0;0.0;0.0;0.01;0.01;0.0;0.0;1490978238.28
0.0;0.0;0.0;0.0;0.01;0.01;0.0;0.0;1490978238.3
0.0;0.0;0.0;0.0;0.01;0.01;0.0;0.0;1490978238.32
0.0;0.0;0.0;0.0;0.01;0.01;0.0;0.0;1490978238.34
0.0;0.0;0.0;0.0;0.01;0.01;0.0;0.0;1490978238.36
0.0;0.0;0.0;0.0;0.01;0.01;0.0;0.0;1490978238.38
0.005;0.004;0.132555547795;0.13255550895;0.0303273296356;0.030325422287;-7.39894228046e-08;0.132555528372;1490978238.4
0.005;0.004;0.13255565909;0.132555397655;0.0504934883118;0.0504918193817;-4.97969728037e-07;0.132555528372;1490978238.42
0.005;0.004;0.132555972769;0.132555083976;0.0703168010712;0.0703151321411;-1.69294089947e-06;0.132555528372;1490978238.44
0.005;0.004;0.132556585843;0.132554470902;0.0904901123047;0.0904877281189;-4.02845812042e-06;0.132555528372;1490978238.46
0.005;0.004;0.132557561423;0.132553495322;0.110697040558;0.110695610046;-7.74495247684e-06;0.132555528372;1490978238.48
0.005;0.004;0.132558934678;0.132552122067;0.13063574791;0.130633840561;-1.29764016902e-05;0.132555528372;1490978238.5
0.044;0.046;0.132560893864;0.132550162881;0.132560893864;0.132550162881;-2.04399673851e-05;0.132555528372;1490978238.52
0.044;0.046;0.132564086663;0.132546970082;0.132564086663;0.132546970082;-3.26030127726e-05;0.132555528372;1490978238.54
0.044;0.046;0.132569491004;0.132541565741;0.132569491004;0.132541565741;-5.31909753258e-05;0.132555528372;1490978238.56
0.044;0.046;0.132577948994;0.132533107751;0.132577948994;0.132533107751;-8.54118908202e-05;0.132555528372;1490978238.58
0.044;0.046;0.132589990192;0.132521066553;0.132589990192;0.132521066553;-0.000131283122873;0.132555528372;1490978238.6
0.044;0.046;0.132605882734;0.132505174011;0.132605882734;0.132505174011;-0.000191826137373;0.132555528372;1490978238.62
0.148;0.148;0.132626134087;0.132484922658;0.132626134087;0.132484922658;-0.000268974151067;0.132555528372;1490978238.64
0.148;0.148;0.13265231092;0.132458745825;0.13265231092;0.132458745825;-0.000368695419784;0.132555528372;1490978238.66
0.148;0.148;0.132686732474;0.132424324271;0.132686732474;0.132424324271;-0.000499825149861;0.132555528372;1490978238.68
0.148;0.148;0.132731273308;0.132379783437;0.132731273308;0.132379783437;-0.000669504517547;0.132555528372;1490978238.7
0.148;0.148;0.132786988102;0.132324068643;0.132786988102;0.132324068643;-0.000881751348915;0.132555528372;1490978238.72
0.148;0.148;0.1328541824;0.132256874345;0.1328541824;0.132256874345;-0.00113772962795;0.132555528372;1490978238.74
0.128;0.127;0.132932493536;0.132178563209;0.132932493536;0.132178563209;-0.00143605776609;0.132555528372;1490978238.76
0.128;0.127;0.133020863401;0.132090193344;0.133020863401;0.132090193344;-0.00177270487146;0.132555528372;1490978238.78
0.128;0.127;0.133117678281;0.131993378464;0.133117678281;0.131993378464;-0.0021415234619;0.132555528372;1490978238.81
0.128;0.127;0.133220994665;0.13189006208;0.133220994665;0.13189006208;-0.00253510968613;0.132555528372;1490978238.83
0.128;0.127;0.133329180722;0.131781876023;0.133329180722;0.131781876023;-0.00294724704516;0.132555528372;1490978238.85
0.128;0.127;0.133440296591;0.131670760154;0.133440296591;0.131670760154;-0.00337054559301;0.132555528372;1490978238.87
0.128;0.127;0.133552532282;0.131558524463;0.133552532282;0.131558524463;-0.00379811013268;0.132555528372;1490978238.89
0.132;0.132;0.133663322769;0.131447733975;0.133663322769;0.131447733975;-0.00422016913144;0.132555528372;1490978238.91
0.132;0.132;0.133774971685;0.13133608506;0.133774971685;0.13133608506;-0.00464549833435;0.132555528372;1490978238.93
0.132;0.132;0.133882292477;0.131228764268;0.133882292477;0.131228764268;-0.00505433944413;0.132555528372;1490978238.95
0.132;0.132;0.133985650795;0.13112540595;0.133985650795;0.13112540595;-0.00544808541836;0.132555528372;1490978238.97
0.132;0.132;0.134083619123;0.131027437622;0.134083619123;0.131027437622;-0.00582129809529;0.132555528372;1490978238.99
0.132;0.132;0.134174116134;0.130936940611;0.134174116134;0.130936940611;-0.00616604861435;0.132555528372;1490978239.01
0.136;0.134;0.134258268476;0.130852788269;0.134258268476;0.130852788269;-0.00648662896424;0.132555528372;1490978239.03
0.136;0.134;0.13433556001;0.130775496735;0.13433556001;0.130775496735;-0.00678107290428;0.132555528372;1490978239.05
0.136;0.134;0.134405691566;0.130705365179;0.134405691566;0.130705365179;-0.00704824073641;0.132555528372;1490978239.07
0.136;0.134;0.134468054987;0.130643001758;0.134468054987;0.130643001758;-0.00728581567518;0.132555528372;1490978239.09
0.136;0.134;0.134522873723;0.130588183022;0.134522873723;0.130588183022;-0.00749464895267;0.132555528372;1490978239.11
0.136;0.134;0.134553315381;0.130557741364;0.134553315381;0.130557741364;-0.00761061717344;0.132555528372;1490978239.13
0.133;0.131;0.134578605696;0.130532451049;0.134578605696;0.130532451049;-0.00770696123406;0.132555528372;1490978239.15
0.133;0.131;0.134598231652;0.130512825093;0.134598231652;0.130512825093;-0.00778172677862;0.132555528372;1490978239.17
0.133;0.131;0.134612552321;0.130498504424;0.134612552321;0.130498504424;-0.00783628170777;0.132555528372;1490978239.19
0.133;0.131;0.134621146592;0.130489910153;0.134621146592;0.130489910153;-0.00786902178759;0.132555528372;1490978239.21
0.133;0.131;0.134624462528;0.130486594217;0.134624462528;0.130486594217;-0.00788165392715;0.132555528372;1490978239.23
0.133;0.131;0.134580258402;0.130530798342;0.134580258402;0.130530798342;-0.00771325725712;0.132555528372;1490978239.25
0.135;0.13;0.189444096209;0.185479555775;0.154651049647;0.150601828006;-0.00755150558966;0.187461825992;1490978239.27
0.135;0.13;0.18940339509;0.185520256894;0.174771431956;0.170721495059;-0.0073964537058;0.187461825992;1490978239.29
0.135;0.13;0.189364806404;0.18555884558;0.189364806404;0.18555884558;-0.00724944918723;0.187461825992;1490978239.31
0.135;0.13;0.189328633662;0.185595018322;0.189328633662;0.185595018322;-0.00711164826704;0.187461825992;1490978239.33
0.135;0.13;0.18929486842;0.185628783564;0.18929486842;0.185628783564;-0.00698301877382;0.187461825992;1490978239.35
0.135;0.13;0.189272363745;0.185651288239;0.189272363745;0.185651288239;-0.00689728667688;0.187461825992;1490978239.37
0.174;0.17;0.189252039239;0.185671612745;0.189252039239;0.185671612745;-0.00681985998703;0.187461825992;1490978239.39
0.174;0.17;0.189233440226;0.185690211758;0.189233440226;0.185690211758;-0.00674900660656;0.187461825992;1490978239.41
0.174;0.17;0.189217571662;0.185706080322;0.189217571662;0.185706080322;-0.00668855493408;0.187461825992;1490978239.43
0.174;0.17;0.189205323075;0.185718328909;0.189205323075;0.185718328909;-0.0066418936509;0.187461825992;1490978239.45
0.174;0.17;0.189197004698;0.185726647286;0.189197004698;0.185726647286;-0.00661020459437;0.187461825992;1490978239.47
0.174;0.17;0.189192762528;0.185730889456;0.189192762528;0.185730889456;-0.00659404394614;0.187461825992;1490978239.49
0.174;0.17;0.189189832529;0.185733819454;0.189189832529;0.185733819454;-0.00658288204767;0.187461825992;1490978239.51
0.187;0.188;0.189191059411;0.185732592573;0.189191059411;0.185732592573;-0.00658755588036;0.187461825992;1490978239.53
0.187;0.188;0.189196656625;0.185726995358;0.189196656625;0.185726995358;-0.00660887860403;0.187461825992;1490978239.55
0.187;0.188;0.189206246959;0.185717405025;0.189206246959;0.185717405025;-0.00664541320887;0.187461825992;1490978239.57
0.187;0.188;0.189219935653;0.185703716331;0.189219935653;0.185703716331;-0.00669756061316;0.187461825992;1490978239.59
0.187;0.188;0.189236939329;0.185686712655;0.189236939329;0.185686712655;-0.00676233652335;0.187461825992;1490978239.61
0.187;0.188;0.189256670092;0.185666981892;0.189256670092;0.185666981892;-0.00683750133252;0.187461825992;1490978239.63
0.196;0.186;0.189278769595;0.185644882389;0.189278769595;0.185644882389;-0.00692168991532;0.187461825992;1490978239.65
0.196;0.186;0.189303092389;0.185620559595;0.189303092389;0.185620559595;-0.00701434817818;0.187461825992;1490978239.67
0.196;0.186;0.189328450429;0.185595201555;0.189328450429;0.185595201555;-0.00711095023589;0.187461825992;1490978239.69
0.196;0.186;0.189354493878;0.185569158106;0.189354493878;0.185569158106;-0.00721016337637;0.187461825992;1490978239.71
0.196;0.186;0.189380093498;0.185543558485;0.189380093498;0.185543558485;-0.00730768573903;0.187461825992;1490978239.73
0.196;0.186;0.189407753118;0.185515898866;0.189407753118;0.185515898866;-0.00741305571654;0.187461825992;1490978239.75
0.186;0.185;0.231564610487;0.227621209444;0.209478782781;0.205586690111;-0.0075112400809;0.229592909965;1490978239.77
0.186;0.185;0.231588393512;0.227597426419;0.229541944631;0.225650328798;-0.00760184208175;0.229592909965;1490978239.79
0.186;0.185;0.231609948707;0.227575871223;0.231609948707;0.227575871223;-0.00768395711283;0.229592909965;1490978239.81
0.186;0.185;0.231628889443;0.227556930488;0.231628889443;0.227556930488;-0.00775611229635;0.229592909965;1490978239.83
0.186;0.185;0.231645281897;0.227540538034;0.231645281897;0.227540538034;-0.00781855973891;0.229592909965;1490978239.85
0.186;0.185;0.231653529492;0.227532290439;0.231653529492;0.227532290439;-0.00784997914765;0.229592909965;1490978239.87
0.223;0.219;0.231658660036;0.227527159894;0.231658660036;0.227527159894;-0.00786952408051;0.229592909965;1490978239.89
0.223;0.219;0.231658562228;0.227527257703;0.231658562228;0.227527257703;-0.0078691514771;0.229592909965;1490978239.91
0.223;0.219;0.231648710916;0.227537109014;0.231648710916;0.227537109014;-0.00783162267085;0.229592909965;1490978239.93
0.223;0.219;0.231625545138;0.227560274793;0.231625545138;0.227560274793;-0.00774337208539;0.229592909965;1490978239.95
0.223;0.219;0.23158673148;0.22759908845;0.23158673148;0.22759908845;-0.00759551053325;0.229592909965;1490978239.97
0.223;0.219;0.231516498907;0.227669321024;0.231516498907;0.227669321024;-0.00732795787341;0.229592909965;1490978239.99
0.223;0.219;0.231431237645;0.227754582285;0.231431237645;0.227754582285;-0.00700315306732;0.229592909965;1490978240.01
