xKinexonPos;yKinexonPos;thetaKinexonPos;timeKinexonPos
0.0;0.0;0.0;0.0
11.8035230637;7.89550876617;0.0209323840129;1490978235.37
11.8035230637;7.89550876617;0.0209323840129;1490978235.37
11.8034715652;7.89550876617;0.0220354433056;1490978236.37
11.8034715652;7.89550876617;0.0220354433056;1490978236.37
11.8034715652;7.89550876617;0.0220354433056;1490978236.37
11.8034715652;7.89550876617;0.0220354433056;1490978236.37
11.8034715652;7.89550876617;0.0220354433056;1490978236.37
11.8034715652;7.89550876617;0.0220354433056;1490978236.37
11.8034715652;7.89550876617;0.0220354433056;1490978236.37
11.8034715652;7.89550876617;0.0220354433056;1490978236.37
11.8034715652;7.89550876617;0.0220354433056;1490978236.37
11.8034715652;7.89550876617;0.0220354433056;1490978236.37
11.8034715652;7.89550876617;0.0220354433056;1490978236.37
11.803396225;7.89544057846;0.0229148423122;1490978237.37
11.803396225;7.89544057846;0.0229148423122;1490978237.37
11.803396225;7.89544057846;0.0229148423122;1490978237.37
11.803396225;7.89544057846;0.0229148423122;1490978237.37
11.803396225;7.89544057846;0.0229148423122;1490978237.37
11.803396225;7.89544057846;0.0229148423122;1490978237.37
11.803396225;7.89544057846;0.0229148423122;1490978237.37
11.803396225;7.89544057846;0.0229148423122;1490978237.37
11.8461818695;7.89557266235;0.0087482870317;1490978238.8
11.8461818695;7.89557266235;0.0087482870317;1490978238.8
11.8461818695;7.89557266235;0.0087482870317;1490978238.8
11.8461818695;7.89557266235;0.0087482870317;1490978238.8
11.8461818695;7.89557266235;0.0087482870317;1490978238.8
11.8461818695;7.89557266235;0.0087482870317;1490978238.8
11.8461818695;7.89557266235;0.0087482870317;1490978238.8
11.8461818695;7.89557266235;0.0087482870317;1490978238.8
11.8461818695;7.89557266235;0.0087482870317;1490978238.8
11.8461818695;7.89557266235;0.0087482870317;1490978238.8
11.8461818695;7.89557266235;0.0087482870317;1490978238.8
11.8461818695;7.89557266235;0.0087482870317;1490978238.8
11.8461818695;7.89557266235;0.0087482870317;1490978238.8
11.8461818695;7.89557266235;0.0087482870317;1490978238.8
11.8461818695;7.89557266235;0.0087482870317;1490978238.8
11.8461818695;7.89557266235;0.0087482870317;1490978238.8
11.8461818695;7.89557266235;0.0087482870317;1490978238.8
11.8461818695;7.89557266235;0.0087482870317;1490978238.8
11.8461818695;7.89557266235;0.0087482870317;1490978238.8
12.7277069092;7.88984680176;-0.0201495376272;1490978242.07
12.7277069092;7.88984680176;-0.0201495376272;1490978242.07
12.7643976212;7.88674068451;-0.0249806557829;1490978242.17
12.7643976212;7.88674068451;-0.0249806557829;1490978242.17
12.7643976212;7.88674068451;-0.0249806557829;1490978242.17
12.7643976212;7.88674068451;-0.0249806557829;1490978242.17
12.8441991806;7.88627338409;-0.0198405355431;1490978242.37
12.8441991806;7.88627338409;-0.0198405355431;1490978242.37
12.8441991806;7.88627338409;-0.0198405355431;1490978242.37
12.8441991806;7.88627338409;-0.0198405355431;1490978242.37
12.8441991806;7.88627338409;-0.0198405355431;1490978242.37
12.8441991806;7.88627338409;-0.0198405355431;1490978242.37
12.8441991806;7.88627338409;-0.0198405355431;1490978242.37
12.8441991806;7.88627338409;-0.0198405355431;1490978242.37
12.8441991806;7.88627338409;-0.0198405355431;1490978242.37
12.8441991806;7.88627338409;-0.0198405355431;1490978242.37
12.8441991806;7.88627338409;-0.0198405355431;1490978242.37
12.8441991806;7.88627338409;-0.0198405355431;1490978242.37
12.8441991806;7.88627338409;-0.0198405355431;1490978242.37
12.8441991806;7.88627338409;-0.0198405355431;1490978242.37
13.7377576828;7.89791536331;-0.00834705967511;1490978244.6
13.7377576828;7.89791536331;-0.00834705967511;1490978244.6
13.7377576828;7.89791536331;-0.00834705967511;1490978244.6
13.7377576828;7.89791536331;-0.00834705967511;1490978244.6
13.7377576828;7.89791536331;-0.00834705967511;1490978244.6
13.7377576828;7.89791536331;-0.00834705967511;1490978244.6
13.7377576828;7.89791536331;-0.00834705967511;1490978244.6
13.7929430008;7.89917182922;-0.0111354243046;1490978244.73
13.7929430008;7.89917182922;-0.0111354243046;1490978244.73
13.7929430008;7.89917182922;-0.0111354243046;1490978244.73
13.7929430008;7.89917182922;-0.0111354243046;1490978244.73
13.7929430008;7.89917182922;-0.0111354243046;1490978244.73
13.7929430008;7.89917182922;-0.0111354243046;1490978244.73
13.7929430008;7.89917182922;-0.0111354243046;1490978244.73
13.7929430008;7.89917182922;-0.0111354243046;1490978244.73
13.7929430008;7.89917182922;-0.0111354243046;1490978244.73
13.7929430008;7.89917182922;-0.0111354243046;1490978244.73
13.7929430008;7.89917182922;-0.0111354243046;1490978244.73
13.7929430008;7.89917182922;-0.0111354243046;1490978244.73
13.7929430008;7.89917182922;-0.0111354243046;1490978244.73
13.7929430008;7.89917182922;-0.0111354243046;1490978244.73
14.7277889252;7.91741847992;0.0194773376545;1490978247.07
14.7639837265;7.91634178162;0.00126833934022;1490978247.17
14.7639837265;7.91634178162;0.00126833934022;1490978247.17
14.7639837265;7.91634178162;0.00126833934022;1490978247.17
14.7639837265;7.91634178162;0.00126833934022;1490978247.17
14.8841285706;7.91871929169;0.000308602907704;1490978247.47
14.8841285706;7.91871929169;0.000308602907704;1490978247.47
14.8841285706;7.91871929169;0.000308602907704;1490978247.47
14.8841285706;7.91871929169;0.000308602907704;1490978247.47
14.8841285706;7.91871929169;0.000308602907704;1490978247.47
14.8841285706;7.91871929169;0.000308602907704;1490978247.47
14.8841285706;7.91871929169;0.000308602907704;1490978247.47
